"CompanyName","Valutec Group AB","Valutec Group"
"CompanyName","Aktiebolaget Volvo","Volvo"
"CompanyName","Volvo Car AB","Volvo Car"
"CompanyName","Telefonaktiebolaget LM Ericsson"
"CompanyName","H & M Hennes & Mauritz AB","H & M Hennes & Mauritz"
"CompanyName","H & M Hennes & Mauritz GBC AB","H & M Hennes & Mauritz GBC"
"CompanyName","Volvo Personvagnar Aktiebolag","Volvo Personvagnar"
"CompanyName","Imulator Invest AB","Imulator Invest"
"CompanyName","Skanska AB","Skanska"
"CompanyName","Vattenfall AB","Vattenfall"
"CompanyName","Ericsson AB","Ericsson"
"CompanyName","ICA Gruppen Aktiebolag","ICA Gruppen"
"CompanyName","SCANIA Aktiebolag","SCANIA"
"CompanyName","Scania CV Aktiebolag","Scania CV"
"CompanyName","Aktiebolaget Electrolux","Electrolux"
"CompanyName","Securitas AB","Securitas"
"CompanyName","Atlas Copco Aktiebolag","Atlas Copco"
"CompanyName","AstraZeneca AB","AstraZeneca"
"CompanyName","Telia Company AB","Telia Company"
"CompanyName","ASSA ABLOY AB","ASSA ABLOY"
"CompanyName","Axel Johnson Holding Aktiebolag","Axel Johnson Holding"
"CompanyName","Axel Johnson Aktiebolag","Axel Johnson"
"CompanyName","ICA Sverige AB","ICA Sverige"
"CompanyName","Investor Aktiebolag","Investor"
"CompanyName","Sandvik Aktiebolag","Sandvik"
"CompanyName","Aktiebolaget SKF","SKF"
"CompanyName","SSAB AB","SSAB"
"CompanyName","Volvo Lastvagnar Aktiebolag","Volvo Lastvagnar"
"CompanyName","Peab AB","Peab"
"CompanyName","Preem Aktiebolag","Preem"
"CompanyName","Boliden AB","Boliden"
"CompanyName","Axfood AB","Axfood"
"CompanyName","NCC Aktiebolag","NCC"
"CompanyName","Boliden Commercial Aktiebolag","Boliden Commercial"
"CompanyName","If Skadeförsäkring Holding AB (publ)","If Skadeförsäkring Holding  (publ)"
"CompanyName","Spotify AB","Spotify"
"CompanyName","Dagab Inköp & Logistik AB","Dagab Inköp & Logistik"
"CompanyName","Toyota Industries Europe AB","Toyota Industries Europe"
"CompanyName","Alfa Laval AB","Alfa Laval"
"CompanyName","Husqvarna Aktiebolag","Husqvarna"
"CompanyName","Kinnevik AB","Kinnevik"
"CompanyName","PostNord AB","PostNord"
"CompanyName","Hexagon Aktiebolag","Hexagon"
"CompanyName","Volvo Construction Equipment AB","Volvo Construction Equipment"
"CompanyName","Systembolaget Aktiebolag","Systembolaget"
"CompanyName","Epiroc Aktiebolag","Epiroc"
"CompanyName","Stena Aktiebolag","Stena"
"CompanyName","Coop Sverige AB","Coop Sverige"
"CompanyName","Quimper AB","Quimper"
"CompanyName","Skanska Sverige AB","Skanska Sverige"
"CompanyName","Luossavaara-Kiirunavaara Aktiebolag","Luossavaara-Kiirunavaara"
"CompanyName","Ingka AB","Ingka"
"CompanyName","WiLLY:S AB","WiLLY:S"
"CompanyName","Telia Sverige AB","Telia Sverige"
"CompanyName","Getinge AB","Getinge"
"CompanyName","Bilia AB","Bilia"
"CompanyName","Tele2 AB","Tele2"
"CompanyName","Volkswagen Group Sverige AB","Volkswagen Group Sverige"
"CompanyName","NIBE Industrier AB","NIBE Industrier"
"CompanyName","Hedin Group AB","Hedin Group"
"CompanyName","Circle K Sverige AB","Circle K Sverige"
"CompanyName","OK-Q8 AB","OK-Q8"
"CompanyName","ABB Power Grids Sweden AB","ABB Power Grids Sweden"
"CompanyName","St1 Sverige AB","St1 Sverige"
"CompanyName","NCC Sverige AB","NCC Sverige"
"CompanyName","SSAB EMEA AB","SSAB EMEA"
"CompanyName","BillerudKorsnäs Aktiebolag (publ)","BillerudKorsnäs  (publ)"
"CompanyName","Octapharma Nordic AB","Octapharma Nordic"
"CompanyName","I.A. Hedin Bil Aktiebolag (publ)","I.A. Hedin Bil  (publ)"
"CompanyName","Stena Metall Aktiebolag","Stena Metall"
"CompanyName","L E Lundbergföretagen Aktiebolag (publ)","L E Lundbergföretagen  (publ)"
"CompanyName","CellMark Aktiebolag","CellMark"
"CompanyName","PostNord Sverige AB","PostNord Sverige"
"CompanyName","Tele2 Sverige Aktiebolag","Tele2 Sverige"
"CompanyName","SAAB Aktiebolag","SAAB"
"CompanyName","Stadshypotek AB","Stadshypotek"
"CompanyName","Albert Bonnier AB","Albert Bonnier"
"CompanyName","Bravida Holding AB","Bravida Holding"
"CompanyName","Aktiebolaget Storstockholms Lokaltrafik","Storstockholms Lokaltrafik"
"CompanyName","Bonnier Group Aktiebolag","Bonnier Group"
"CompanyName","Volvo Car Sverige Aktiebolag","Volvo Car Sverige"
"CompanyName","SWECO AB (publ)","SWECO  (publ)"
"CompanyName","North European Oil Trade AB","North European Oil Trade"
"CompanyName","SAS AB","SAS"
"CompanyName","Apoteket AB","Apoteket"
"CompanyName","Svenska Cellulosa Aktiebolaget SCA","Svenska Cellulosa  SCA"
"CompanyName","Samsung Electronics Nordic Aktiebolag","Samsung Electronics Nordic"
"CompanyName","AFRY AB","AFRY"
"CompanyName","Indutrade Aktiebolag","Indutrade"
"CompanyName","Sveaskog AB","Sveaskog"
"CompanyName","Nordstjernan Aktiebolag","Nordstjernan"
